LncRNA name,Cancer name,Methods,Expression pattern,Pubmed ID,Remarks,No. of Transcript variants,NCBI Reference Number,Total No. of PQS,No. of 2G PQS,No. of 3G PQS,No. of 4G PQS,RefSeq status,aka
UCA1,Prostate Cancer,"Western blotting, Luciferase Reporter Assay, RIP, qRT-PCR",up-regulated,31954329,"Also Known As: CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36

Some (older-not checked for PQS) UCA1 clones ""other"" ncRNA (GU799565.1, GU799564.1, GU799563.1, GU799562.1 and GU799561.1) were also there in result.

Some (older, not checked for PQS) urothelial cancer associated 1a non-coding RNA (UCA1) ""other"" ncRNA (complete sequence, alternatively spliced-GU357550.1; note=""UCA1a; alternative splice product"") was also there in result.",1,NR_015379.3,10,10,0,0,REVIEWED,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Prostate Cancer,"qPCR, Western blot, RIP, Luciferase reporter assay",up-regulated,28209917,"Also Known As: CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36

Some (older-not checked for PQS) UCA1 clones ""other"" ncRNA (GU799565.1, GU799564.1, GU799563.1, GU799562.1 and GU799561.1) were also there in result.

Some (older, not checked for PQS) urothelial cancer associated 1a non-coding RNA (UCA1) ""other"" ncRNA (complete sequence, alternatively spliced-GU357550.1; note=""UCA1a; alternative splice product"") was also there in result.",1,NR_015379.3,10,10,0,0,REVIEWED,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Prostate Cancer,"qPCR, RNAi, Western blot, Cell proliferation assay etc.",up-regulated,27902466,"Also Known As: CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36

Some (older-not checked for PQS) UCA1 clones ""other"" ncRNA (GU799565.1, GU799564.1, GU799563.1, GU799562.1 and GU799561.1) were also there in result.

Some (older, not checked for PQS) urothelial cancer associated 1a non-coding RNA (UCA1) ""other"" ncRNA (complete sequence, alternatively spliced-GU357550.1; note=""UCA1a; alternative splice product"") was also there in result.",1,NR_015379.3,10,10,0,0,REVIEWED,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Prostate Cancer,"qPCR, RNAi, Western blot, RIP, Luciferase reporter assay, Cell proliferation assay etc.",up-regulated,28337266,"Also Known As: CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36

Some (older-not checked for PQS) UCA1 clones ""other"" ncRNA (GU799565.1, GU799564.1, GU799563.1, GU799562.1 and GU799561.1) were also there in result.

Some (older, not checked for PQS) urothelial cancer associated 1a non-coding RNA (UCA1) ""other"" ncRNA (complete sequence, alternatively spliced-GU357550.1; note=""UCA1a; alternative splice product"") was also there in result.",1,NR_015379.3,10,10,0,0,REVIEWED,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Prostate Cancer,"qPCR, RNAi, Western blot etc.",up-regulated,26550172,"Also Known As: CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36

Some (older-not checked for PQS) UCA1 clones ""other"" ncRNA (GU799565.1, GU799564.1, GU799563.1, GU799562.1 and GU799561.1) were also there in result.

Some (older, not checked for PQS) urothelial cancer associated 1a non-coding RNA (UCA1) ""other"" ncRNA (complete sequence, alternatively spliced-GU357550.1; note=""UCA1a; alternative splice product"") was also there in result.",1,NR_015379.3,10,10,0,0,REVIEWED,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UCA1,Prostate Cancer,"RNA-seq, Microarray, qPCR, RNAi, Northern blot etc.",down-regulated,23728290,"Also Known As: CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36

Some (older-not checked for PQS) UCA1 clones ""other"" ncRNA (GU799565.1, GU799564.1, GU799563.1, GU799562.1 and GU799561.1) were also there in result.

Some (older, not checked for PQS) urothelial cancer associated 1a non-coding RNA (UCA1) ""other"" ncRNA (complete sequence, alternatively spliced-GU357550.1; note=""UCA1a; alternative splice product"") was also there in result.",1,NR_015379.3,10,10,0,0,REVIEWED,CUDR; UCAT1; LINC00178; NCRNA00178; onco-lncRNA-36
UNC5B-AS1,Prostate Cancer,Luciferase reporter assay etc,up-regulated,32196578,Also Known As: UASR1,1,NR_038453.1,5,5,0,0,VALIDATED,UASR1
VPS9D1-AS1,Prostate Cancer,"RT-qPCR, Luciferase reporter assay",up-regulated,31918265,Also Known As: VPS9D1-AS1; MY,1,(NR_036480.1),20,16,4,0,VALIDATED ,MYU
XIST,Prostate Cancer,"qPCR, Luciferase reporter assays, Western blot etc.",down-regulated,29212233,Also Known As: SXI1; swd66; DXS1089; DXS399E; LINC00001; NCRNA00001,1,NR_001564.2,71,71,0,0,REVIEWED,SXI1; swd66; DXS1089; DXS399E; LINC00001; NCRNA00001
XIST,Prostate Cancer,"qPCR, Southern blot etc.",up-regulated,16261845,Also Known As: SXI1; swd66; DXS1089; DXS399E; LINC00001; NCRNA00001,1,NR_001564.2,71,71,0,0,REVIEWED,SXI1; swd66; DXS1089; DXS399E; LINC00001; NCRNA00001
"XLOC_005327",Prostate Cancer,"Microarray, qPCR, RNA-FISH etc.",up-regulated,25307116,Also known as LINC01564; XLOC_005327; TCONS_00011314,1 (LINC01564),LINC01564 (NR_125841.1 ),2 (LINC01564),2,0,0,VALIDATED (LINC01564),XLOC_005327; TCONS_00011314; LINC01564
"XLOC_005327",Prostate Cancer,"Microarray, qPCR, RNAi etc.",up-regulated,25513185,Also known as LINC01564; XLOC_005327; TCONS_00011314,1 (LINC01564),LINC01564 (NR_125841.1 ),2 (LINC01564),2,0,0,VALIDATED (LINC01564),XLOC_005327; TCONS_00011314; LINC01564
XLOC_007697,Prostate Cancer,"Microarray, qPCR, RNA-FISH etc.",up-regulated,25307116,,1,NR_131213,1,1,0,0,VALIDATED ,uncharacterized LOC105500239;lnc-SPATA31A6-60;NONHSAG052316.2
XLOC_007697,Prostate Cancer,"Microarray, qPCR, RNAi etc.",up-regulated,25513185,,1,NR_131213,1,1,0,0,VALIDATED ,uncharacterized LOC105500239;lnc-SPATA31A6-60;NONHSAG052316.2
XLOC_008559,Prostate Cancer,"Microarray, qPCR, RNA-FISH etc.",up-regulated,25307116,,1,NR_131214.1,1,1,0,0,VALIDATED,uncharacterized LOC105378427;lnc-RPP30-2;HSALNG0079635;NONHSAG006512.2;HSALNG0079639
XLOC_008559,Prostate Cancer,"Microarray, qPCR, RNAi etc.",up-regulated,25513185,,1,NR_131214.1,1,1,0,0,VALIDATED,uncharacterized LOC105378427;lnc-RPP30-2;HSALNG0079635;NONHSAG006512.2;HSALNG0079639
XLOC_009911,Prostate Cancer,"Microarray, qPCR, RNA-FISH etc.",up-regulated,25307116,,1,NR_131215.1,4,4,0,0,VALIDATED,uncharacterized LOC105500240;HSALNG0094550;lnc-HNF1A-1;NONHSAG012533.2
XLOC_009911,Prostate Cancer,"Microarray, qPCR, RNAi etc.",up-regulated,25513185,,1,NR_131215.1,4,4,0,0,VALIDATED,uncharacterized LOC105500240;HSALNG0094550;lnc-HNF1A-1;NONHSAG012533.2
ZEB1-AS1,Prostate Cancer,"qPCR, Western blot etc",up-regulated,32275162,,6,"NR_024284.1, NR_148975.1, NR_148976.1, NR_148977.1, NR_148978.1, NR_148979.1","7, 5, 11, 14, 5, 5, ","6,5,10,12,4,4","1,0,1,2,1,1","0,0,0,0,0,0",REVIEWED,ZEB1 antisense RNA 1;ZEB1 antisense RNA 1 (non-protein coding);HSALNG0077083;NONHSAG005548.2;ZEB1-AS1
ZEB1-AS1,Prostate Cancer,"Western blot, Luciferase reporter, RIP",up-regulated,28830551,,6,"NR_024284.1, NR_148975.1, NR_148976.1, NR_148977.1, NR_148978.1, NR_148979.1","7, 5, 11, 14, 5, 5, ","6,5,10,12,4,4","1,0,1,2,1,1","0,0,0,0,0,0",REVIEWED,ZEB1 antisense RNA 1;ZEB1 antisense RNA 1 (non-protein coding);HSALNG0077083;NONHSAG005548.2;ZEB1-AS1
ZFAS1,Prostate Cancer,"qPCR, Western blot",up-regulated,32104094,Also Known As: HSUP1; HSUP2; C20orf199; ZNFX1-AS1; NCRNA00275,5,"NR_003604.3, NR_003605.2, NR_003606.3, NR_036658.2, NR_036659.2","13, 9, 12, 13, 4","11,8,10,11,4","2,1,2,2,0","0,0,0,0,0",REVIEWED,HSUP1; HSUP2; C20orf199; ZNFX1-AS1; NCRNA00275
Total no. of LncRNAs having Validated and Reviewed RefSeq status,,,,,,,,,,,,,
145,,,,,,,,,,,,,
